ID_BB_GLOBAL,FIELD,VALUE,SOURCE,TSTAMP
BBG000064N91,id_isin,SE0001233990,corp_pfd.diff,2024-02-23 21:56:28
BBG000064N91,id_cusip,ED5429110,corp_pfd.diff,2024-02-23 21:56:28
BBG000064N91,id_sedol1,B7NCQ92,corp_pfd.diff,2024-02-23 21:56:28
BBG000064N91,ticker,OREKON,corp_pfd.diff,2024-02-23 21:56:28
BBG000064N91,name,ORESUNDSKONSORTIET,corp_pfd.diff,2024-02-23 21:56:28
BBG000064N91,exch_code,NOMX STOCKHOLM,corp_pfd.diff,2024-02-23 21:56:28
BBG000064N91,issuer,ORESUNDSKONSORTIET,corp_pfd.diff,2024-02-23 21:56:28
BBG000064N91,market_sector_des,Govt,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6Q1G73,id_isin,US86562MBE93,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6Q1G73,id_cusip,86562MBE9,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6Q1G73,id_sedol1,,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6Q1G73,ticker,SUMIBK,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6Q1G73,name,SUMITOMO MITSUI FINL GRP,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6Q1G73,exch_code,LUXEMBOURG,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6Q1G73,issuer,SUMITOMO MITSUI FINL GRP,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6Q1G73,market_sector_des,Corp,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6NCQ03,id_isin,XS1894558102,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6NCQ03,id_cusip,AU9091243,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6NCQ03,id_sedol1,BGHHDV7,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6NCQ03,ticker,CPIPGR,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6NCQ03,name,CPI PROPERTY GROUP SA,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6NCQ03,exch_code,DUBLIN,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6NCQ03,issuer,CPI PROPERTY GROUP SA,corp_pfd.diff,2024-02-23 21:56:28
BBG00M6NCQ03,market_sector_des,Corp,corp_pfd.diff,2024-02-23 21:56:28
BBG001DLF483,id_isin,US40414LAD10,corp_pfd.diff,2024-02-23 21:56:28
BBG001DLF483,id_cusip,40414LAD1,corp_pfd.diff,2024-02-23 21:56:28
BBG001DLF483,id_sedol1,B4M5VN0,corp_pfd.diff,2024-02-23 21:56:28
BBG001DLF483,ticker,HCP,corp_pfd.diff,2024-02-23 21:56:28
BBG001DLF483,name,HCP INC,corp_pfd.diff,2024-02-23 21:56:28
BBG001DLF483,exch_code,NEW YORK,corp_pfd.diff,2024-02-23 21:56:28
BBG001DLF483,issuer,HCP INC,corp_pfd.diff,2024-02-23 21:56:28
BBG001DLF483,market_sector_des,Corp,corp_pfd.diff,2024-02-23 21:56:28
BBG006JN2YG1,id_isin,US200340AP22,corp_pfd.diff,2024-02-23 21:56:28
BBG006JN2YG1,id_cusip,200340AP2,corp_pfd.diff,2024-02-23 21:56:28
BBG006JN2YG1,id_sedol1,BMW3WN7,corp_pfd.diff,2024-02-23 21:56:28
BBG006JN2YG1,ticker,CMA,corp_pfd.diff,2024-02-23 21:56:28
BBG006JN2YG1,name,COMERICA INC ,corp_pfd.diff,2024-02-23 21:56:28
BBG006JN2YG1,exch_code,,corp_pfd.diff,2024-02-23 21:56:28
BBG006JN2YG1,issuer,COMERICA INC,corp_pfd.diff,2024-02-23 21:56:28
BBG006JN2YG1,market_sector_des,Corp,corp_pfd.diff,2024-02-23 21:56:28
BBG00K9516J9,id_isin,US98956PAP71,corp_pfd.diff,2024-02-23 21:56:28
BBG00K9516J9,id_cusip,98956PAP7,corp_pfd.diff,2024-02-23 21:56:28
BBG00K9516J9,id_sedol1,BD5GPH5,corp_pfd.diff,2024-02-23 21:56:28
BBG00K9516J9,ticker,ZBH,corp_pfd.diff,2024-02-23 21:56:28
BBG00K9516J9,name,ZIMMER BIOMET HLDGS INC ,corp_pfd.diff,2024-02-23 21:56:28
BBG00K9516J9,exch_code,,corp_pfd.diff,2024-02-23 21:56:28
BBG00K9516J9,issuer,ZIMMER BIOMET HOLDINGS,corp_pfd.diff,2024-02-23 21:56:28
BBG00K9516J9,market_sector_des,Corp,corp_pfd.diff,2024-02-23 21:56:28
BBG00D1KW054,id_isin,US172967KS95,corp_pfd.diff,2024-02-23 21:56:28
BBG00D1KW054,id_cusip,172967KS9,corp_pfd.diff,2024-02-23 21:56:28
BBG00D1KW054,id_sedol1,BD203K9,corp_pfd.diff,2024-02-23 21:56:28
BBG00D1KW054,ticker,C,corp_pfd.diff,2024-02-23 21:56:28
